transaction_id,item
1,"Maintenance Package, Leather Seats, Extended Warranty"
2,"Leather Seats, SUV"
3,"Tire Package, Sedan, Sunroof, Audio System Upgrade"
4,"Hybrid Car, GPS Navigation, Van"
5,Electric Car
6,"Electric Car, Sport Car"
7,"Audio System Upgrade, Sport Car, Financing, Sunroof"
8,"Sunroof, Insurance, Paint Protection, Hybrid Car, Audio System Upgrade"
9,"Hatchback, Sedan, Electric Car, Truck"
10,"Truck, Sedan, Hatchback, Sunroof, Insurance"
11,"Sedan, Luxury Car, Truck, Financing, GPS Navigation"
12,Van
13,Financing
14,"Leather Seats, Hybrid Car, Paint Protection"
15,Sedan
16,"Sedan, GPS Navigation, Leather Seats, Van"
17,"Tire Package, Hatchback, Financing, Sedan, Insurance"
18,"Insurance, Electric Car, Van"
19,Tire Package
20,Hatchback
21,Tire Package
22,Insurance
23,Electric Car
24,"Hybrid Car, Hatchback"
25,"Extended Warranty, Financing, Paint Protection"
26,Extended Warranty
27,"Sedan, Hatchback, GPS Navigation, Financing, Sport Car"
28,Sport Car
29,"Financing, Sedan"
30,"Extended Warranty, SUV, Tire Package, Financing"
31,"Van, Hybrid Car, Audio System Upgrade, Extended Warranty, Towing Package"
32,"Maintenance Package, Sunroof, Leather Seats, Extended Warranty"
33,"Maintenance Package, Sedan, SUV"
34,"Extended Warranty, Insurance, Audio System Upgrade, Hybrid Car"
35,"Hybrid Car, Sedan"
36,"Extended Warranty, Towing Package, SUV, Financing"
37,"SUV, Luxury Car"
38,"Luxury Car, Leather Seats, Sport Car"
39,"GPS Navigation, Insurance, Luxury Car, Hatchback, Sunroof"
40,"Financing, SUV"
41,"Tire Package, GPS Navigation, Leather Seats, Sport Car"
42,"Insurance, Van"
43,"Sunroof, Tire Package, Hatchback"
44,"GPS Navigation, Electric Car, Paint Protection"
45,SUV
46,Towing Package
47,"Towing Package, Sedan, Insurance, Sport Car"
48,GPS Navigation
49,"Sunroof, Leather Seats"
50,"Leather Seats, Extended Warranty"
